Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 15 December 2025    7    2    0    7    2    9    1    5    5    0    0    0    0    0    0    0    0    0    1    0    0    0
Tuesday, 16 December 2025    10    2    5    12    5    17    0    8    7    2    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 17 December 2025    26    2    2    15    15    30    1    13    13    0    0    0    0    0    0    0    0    0    0    1    0    0
Thursday, 18 December 2025    8    1    7    11    5    16    1    5    0    0    4    1    0    0    0    0    0    0    0    0    0    0
Friday, 19 December 2025    0    0    1    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 22 December 2025    1    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 23 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 24 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 25 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 26 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 29 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
